date,hour,match,home_team,away_team,home_goals_bol,away_goals_bol,home_goals_real,away_goals_real,resultado_bol_placar,resultado_bol_time,resultado_real_placar,resultado_real_time,who
2025-06-19,19h,seattle_sounders-vs-atlético_de_madrid,Seattle Sounders,Atlético de Madrid,0.0,3.0,1,3,0 x 3,Atlético de Madrid,1 x 3,Atlético de Madrid,Rafael Conte
2025-06-19,22h,paris_saint_germain-vs-botafogo,Paris Saint-Germain,Botafogo,3.0,1.0,0,1,3 x 1,Paris Saint-Germain,0 x 1,Botafogo,Rafael Conte
2025-06-20,13h,benfica-vs-auckland_city,Benfica,Auckland City,2.0,1.0,6,0,2 x 1,Benfica,6 x 0,Benfica,Rafael Conte
2025-06-20,15h,flamengo-vs-chelsea,Flamengo,Chelsea,0.0,1.0,3,1,0 x 1,Chelsea,3 x 1,Flamengo,Rafael Conte
2025-06-20,19h,los_angeles_fc-vs-espérance,Los Angeles FC,Espérance,1.0,1.0,0,1,1 x 1,empate,0 x 1,Espérance,Rafael Conte
2025-06-20,22h,bayern_de_munique-vs-boca_juniors,Bayern de Munique,Boca Juniors,2.0,1.0,2,1,2 x 1,Bayern de Munique,2 x 1,Bayern de Munique,Rafael Conte
2025-06-21,13h,mamelodi_sundowns-vs-borussia_dortmund,Mamelodi Sundowns,Borussia Dortmund,1.0,3.0,3,4,1 x 3,Borussia Dortmund,3 x 4,Borussia Dortmund,Rafael Conte
2025-06-21,16h,internazionale-vs-urawa_reds,Internazionale,Urawa Reds,3.0,0.0,2,1,3 x 0,Internazionale,2 x 1,Internazionale,Rafael Conte
2025-06-21,19h,fluminense-vs-ulsan_hd,Fluminense,Ulsan HD,1.0,0.0,4,2,1 x 0,Fluminense,4 x 2,Fluminense,Rafael Conte
2025-06-21,22h,river_plate-vs-monterrey,River Plate,Monterrey,1.0,0.0,0,0,1 x 0,River Plate,0 x 0,empate,Rafael Conte
2025-06-22,13h,juventus-vs-wydad_casablanca,Juventus,Wydad Casablanca,3.0,1.0,4,1,3 x 1,Juventus,4 x 1,Juventus,Rafael Conte
2025-06-22,16h,real_madrid-vs-pachuca,Real Madrid,Pachuca,3.0,1.0,3,1,3 x 1,Real Madrid,3 x 1,Real Madrid,Rafael Conte
2025-06-22,19h,rb_salzburg-vs-al_hilal,RB Salzburg,Al-Hilal,1.0,0.0,0,0,1 x 0,RB Salzburg,0 x 0,empate,Rafael Conte
2025-06-22,22h,manchester_city-vs-al_ain,Manchester City,Al-Ain,3.0,0.0,6,0,3 x 0,Manchester City,6 x 0,Manchester City,Rafael Conte
2025-06-23,16h,seattle_sounders-vs-paris_saint_germain,Seattle Sounders,Paris Saint-Germain,0.0,5.0,0,2,0 x 5,Paris Saint-Germain,0 x 2,Paris Saint-Germain,Rafael Conte
2025-06-23,16h,atlético_de_madrid-vs-botafogo,Atlético de Madrid,Botafogo,2.0,0.0,1,0,2 x 0,Atlético de Madrid,1 x 0,Atlético de Madrid,Rafael Conte
2025-06-23,22h,inter_miami-vs-palmeiras,Inter Miami,Palmeiras,4.0,0.0,2,2,4 x 0,Inter Miami,2 x 2,empate,Rafael Conte
2025-06-23,22h,porto-vs-al_ahly,Porto,Al Ahly,5.0,1.0,4,4,5 x 1,Porto,4 x 4,empate,Rafael Conte
2025-06-24,16h,benfica-vs-bayern_de_munique,Benfica,Bayern de Munique,1.0,3.0,1,0,1 x 3,Bayern de Munique,1 x 0,Benfica,Rafael Conte
2025-06-24,16h,auckland_city-vs-boca_juniors,Auckland City,Boca Juniors,0.0,1.0,1,1,0 x 1,Boca Juniors,1 x 1,empate,Rafael Conte
2025-06-24,22h,los_angeles_fc-vs-flamengo,Los Angeles FC,Flamengo,1.0,2.0,1,1,1 x 2,Flamengo,1 x 1,empate,Rafael Conte
2025-06-24,22h,espérance-vs-chelsea,Espérance,Chelsea,0.0,3.0,0,3,0 x 3,Chelsea,0 x 3,Chelsea,Rafael Conte
2025-06-25,16h,mamelodi_sundowns-vs-fluminense,Mamelodi Sundowns,Fluminense,0.0,1.0,0,0,0 x 1,Fluminense,0 x 0,empate,Rafael Conte
2025-06-25,16h,borussia_dortmund-vs-ulsan_hd,Borussia Dortmund,Ulsan HD,3.0,0.0,1,0,3 x 0,Borussia Dortmund,1 x 0,Borussia Dortmund,Rafael Conte
2025-06-25,22h,internazionale-vs-river_plate,Internazionale,River Plate,2.0,0.0,2,0,2 x 0,Internazionale,2 x 0,Internazionale,Rafael Conte
2025-06-25,22h,urawa_reds-vs-monterrey,Urawa Reds,Monterrey,0.0,1.0,0,4,0 x 1,Monterrey,0 x 4,Monterrey,Rafael Conte
2025-06-26,16h,juventus-vs-manchester_city,Juventus,Manchester City,2.0,2.0,2,5,2 x 2,empate,2 x 5,Manchester City,Rafael Conte
2025-06-26,16h,wydad_casablanca-vs-al_ain,Wydad Casablanca,Al-Ain,1.0,1.0,1,2,1 x 1,empate,1 x 2,Al-Ain,Rafael Conte
2025-06-26,22h,rb_salzburg-vs-real_madrid,RB Salzburg,Real Madrid,1.0,2.0,0,3,1 x 2,Real Madrid,0 x 3,Real Madrid,Rafael Conte
2025-06-26,22h,al_hilal-vs-pachuca,Al-Hilal,Pachuca,1.0,3.0,2,0,1 x 3,Pachuca,2 x 0,Al-Hilal,Rafael Conte
