date,hour,match,home_team,away_team,home_goals_bol,away_goals_bol,home_goals_real,away_goals_real,resultado_bol_placar,resultado_bol_time,resultado_real_placar,resultado_real_time,who
2025-06-23,16h,seattle_sounders-vs-paris_saint_germain,Seattle Sounders,Paris Saint-Germain,0.0,4.0,0,2,0 x 4,Paris Saint-Germain,0 x 2,Paris Saint-Germain,Marcelo
2025-06-23,16h,atlético_de_madrid-vs-botafogo,Atlético de Madrid,Botafogo,3.0,1.0,1,0,3 x 1,Atlético de Madrid,1 x 0,Atlético de Madrid,Marcelo
2025-06-23,22h,inter_miami-vs-palmeiras,Inter Miami,Palmeiras,1.0,2.0,2,2,1 x 2,Palmeiras,2 x 2,empate,Marcelo
2025-06-23,22h,porto-vs-al_ahly,Porto,Al Ahly,1.0,0.0,4,4,1 x 0,Porto,4 x 4,empate,Marcelo
2025-06-24,16h,benfica-vs-bayern_de_munique,Benfica,Bayern de Munique,1.0,3.0,1,0,1 x 3,Bayern de Munique,1 x 0,Benfica,Marcelo
2025-06-24,16h,auckland_city-vs-boca_juniors,Auckland City,Boca Juniors,0.0,2.0,1,1,0 x 2,Boca Juniors,1 x 1,empate,Marcelo
2025-06-24,22h,los_angeles_fc-vs-flamengo,Los Angeles FC,Flamengo,2.0,3.0,1,1,2 x 3,Flamengo,1 x 1,empate,Marcelo
2025-06-24,22h,espérance-vs-chelsea,Espérance,Chelsea,0.0,3.0,0,3,0 x 3,Chelsea,0 x 3,Chelsea,Marcelo
2025-06-25,16h,mamelodi_sundowns-vs-fluminense,Mamelodi Sundowns,Fluminense,1.0,2.0,0,0,1 x 2,Fluminense,0 x 0,empate,Marcelo
2025-06-25,16h,borussia_dortmund-vs-ulsan_hd,Borussia Dortmund,Ulsan HD,3.0,0.0,1,0,3 x 0,Borussia Dortmund,1 x 0,Borussia Dortmund,Marcelo
2025-06-25,22h,internazionale-vs-river_plate,Internazionale,River Plate,3.0,1.0,2,0,3 x 1,Internazionale,2 x 0,Internazionale,Marcelo
2025-06-25,22h,urawa_reds-vs-monterrey,Urawa Reds,Monterrey,1.0,2.0,0,4,1 x 2,Monterrey,0 x 4,Monterrey,Marcelo
2025-06-26,16h,juventus-vs-manchester_city,Juventus,Manchester City,1.0,2.0,2,5,1 x 2,Manchester City,2 x 5,Manchester City,Marcelo
2025-06-26,16h,wydad_casablanca-vs-al_ain,Wydad Casablanca,Al-Ain,1.0,1.0,1,2,1 x 1,empate,1 x 2,Al-Ain,Marcelo
2025-06-26,22h,rb_salzburg-vs-real_madrid,RB Salzburg,Real Madrid,1.0,4.0,0,3,1 x 4,Real Madrid,0 x 3,Real Madrid,Marcelo
2025-06-26,22h,al_hilal-vs-pachuca,Al-Hilal,Pachuca,3.0,1.0,2,0,3 x 1,Al-Hilal,2 x 0,Al-Hilal,Marcelo
